Date, Open, High, Low, Close, Volume
05/11/23, 115.86, 118.44, 114.9301, 116.90, 57115078
05/10/23, 108.55, 113.51, 108.48, 112.28, 47533461
05/09/23, 108.78, 110.595, 107.725, 107.94, 24782439
05/08/23, 105.795, 108.42, 105.79, 108.24, 17266020
05/05/23, 105.32, 106.44, 104.7386, 106.215, 20710631
05/04/23, 106.16, 106.30, 104.70, 105.21, 19780641
05/03/23, 106.22, 108.13, 105.62, 106.12, 17116330
05/02/23, 107.66, 107.73, 104.50, 105.98, 20343119
05/01/23, 107.72, 108.68, 107.50, 107.71, 20926260
04/28/23, 107.80, 108.29, 106.04, 108.22, 23957869
04/27/23, 105.23, 109.15, 104.42, 108.37, 38235219
04/26/23, 105.56, 107.02, 103.27, 104.45, 37068168
04/25/23, 106.61, 107.44, 104.56, 104.61, 31408119
04/24/23, 106.05, 107.32, 105.36, 106.78, 21410910
04/21/23, 106.09, 106.64, 105.485, 105.91, 22379020
04/20/23, 104.65, 106.8875, 104.64, 105.90, 22515330
04/19/23, 104.215, 105.725, 103.80, 105.02, 16732020
04/18/23, 107.00, 107.05, 104.78, 105.12, 17641369
04/17/23, 105.43, 106.71, 105.32, 106.42, 29043439
04/14/23, 107.69, 109.58, 107.59, 109.46, 20758689
04/13/23, 106.47, 108.265, 106.44, 108.19, 21650750
04/12/23, 107.39, 107.5874, 104.97, 105.22, 22761570
04/11/23, 106.92, 107.22, 105.28, 106.12, 18721279
04/10/23, 107.39, 107.97, 105.60, 106.95, 19741520
04/06/23, 105.77, 109.63, 104.815, 108.90, 34684152
04/05/23, 106.12, 106.54, 104.1021, 104.95, 21864199
04/04/23, 104.84, 106.10, 104.60, 105.12, 20377230
04/03/23, 102.67, 104.95, 102.38, 104.91, 20719859
03/31/23, 101.71, 104.19, 101.44, 104.00, 28107949
03/30/23, 101.44, 101.61, 100.29, 101.32, 25009830
03/29/23, 102.72, 102.82, 101.03, 101.90, 26148301
03/28/23, 103.00, 103.00, 100.28, 101.36, 24913480
03/27/23, 105.32, 105.40, 102.63, 103.06, 25393420
03/24/23, 105.74, 106.16, 104.74, 106.06, 25245010
03/23/23, 105.89, 107.1009, 105.41, 106.26, 31385820
03/22/23, 105.14, 107.51, 104.21, 104.22, 32336881
03/21/23, 101.98, 105.96, 101.86, 105.84, 33122801
03/20/23, 101.06, 102.58, 100.79, 101.93, 26033920
03/17/23, 100.84, 103.49, 100.75, 102.46, 76140312
03/16/23, 96.57, 101.97, 95.87, 101.07, 54588199
03/15/23, 93.54, 97.25, 93.04, 96.55, 38367328
03/14/23, 93.07, 94.83, 92.78, 94.25, 32303881
03/13/23, 90.565, 93.08, 89.94, 91.66, 31508570
03/10/23, 92.50, 93.18, 90.80, 91.01, 32850090
03/09/23, 94.49, 95.92, 92.355, 92.66, 24438891
03/08/23, 94.405, 96.24, 94.405, 94.65, 25395199
03/07/23, 95.42, 96.09, 93.8443, 94.17, 24101539
03/06/23, 94.36, 96.30, 94.30, 95.58, 28288211
03/03/23, 92.74, 94.11, 92.66, 94.02, 30242539
03/02/23, 89.86, 92.48, 89.77, 92.31, 23344561
03/01/23, 90.16, 91.20, 89.85, 90.51, 26323881
02/28/23, 89.54, 91.45, 89.52, 90.30, 30546910
02/27/23, 90.09, 90.4499, 89.61, 90.10, 22724260
02/24/23, 89.63, 90.13, 88.86, 89.35, 31295619
02/23/23, 92.13, 92.13, 90.01, 91.07, 32423721
02/22/23, 91.934, 92.36, 90.87, 91.80, 29891141
02/21/23, 93.24, 93.4149, 92.00, 92.05, 28367199
02/17/23, 95.07, 95.75, 93.45, 94.59, 31095070
02/16/23, 95.54, 97.88, 94.97, 95.78, 35642113
02/15/23, 94.74, 97.34, 94.36, 97.10, 37029887
02/14/23, 94.66, 95.175, 92.65, 94.95, 42513078
02/13/23, 95.01, 95.35, 94.05, 95.00, 43116559
02/10/23, 95.74, 97.02, 94.53, 94.86, 49325281
02/09/23, 100.54, 100.61, 93.86, 95.46, 97798570
02/08/23, 102.69, 103.58, 98.455, 100.00, 73546031
02/07/23, 103.63, 108.67, 103.5475, 108.04, 33738832
02/06/23, 102.685, 104.70, 102.21, 103.47, 25573051
02/03/23, 103.51, 108.02, 103.30, 105.22, 36823422
02/02/23, 106.79, 108.82, 106.54, 108.80, 46622633
02/01/23, 99.74, 102.1899, 98.42, 101.43, 26392570
01/31/23, 97.86, 99.91, 97.79, 99.87, 22306779
01/30/23, 98.745, 99.4088, 97.52, 97.95, 24365141
01/27/23, 99.05, 101.58, 98.97, 100.71, 29020350
01/26/23, 98.28, 99.21, 96.82, 99.16, 24542061
01/25/23, 97.20, 97.72, 95.262, 96.73, 31000850
01/24/23, 99.55, 101.09, 98.70, 99.21, 27391369
01/23/23, 99.13, 101.40, 98.75, 101.21, 31791779
01/20/23, 95.95, 99.42, 95.91, 99.28, 53704762
01/19/23, 91.39, 94.40, 91.38, 93.91, 28707650
01/18/23, 92.94, 93.588, 91.40, 91.78, 19641619
01/17/23, 92.78, 92.97, 90.84, 92.16, 22935820
01/13/23, 91.528, 92.98, 90.93, 92.80, 18630711
01/12/23, 92.40, 92.62, 90.57, 91.91, 22754221
01/11/23, 90.06, 92.45, 89.74, 92.26, 25998840
01/10/23, 86.72, 89.475, 86.70, 89.24, 22855590
01/09/23, 89.195, 90.83, 88.58, 88.80, 22996680
01/06/23, 87.36, 88.47, 85.57, 88.16, 26612631
01/05/23, 88.07, 88.21, 86.56, 86.77, 23136080
01/04/23, 91.01, 91.24, 87.80, 88.71, 27046480
01/03/23, 89.83, 91.55, 89.02, 89.70, 20738461
12/30/22, 87.365, 88.83, 87.03, 88.73, 19190301
12/29/22, 87.03, 89.365, 86.99, 88.95, 18280660
12/28/22, 87.50, 88.52, 86.3701, 86.46, 17879570
12/27/22, 89.31, 89.50, 87.535, 87.93, 15470870
12/23/22, 87.62, 90.10, 87.62, 89.81, 17815010
12/22/22, 88.93, 89.18, 86.9401, 88.26, 23656070
12/21/22, 89.73, 90.915, 88.91, 90.25, 20336391
12/20/22, 88.73, 89.78, 88.04, 89.63, 21976850
12/19/22, 90.88, 91.20, 88.925, 89.15, 23020539
12/16/22, 91.20, 91.75, 90.01, 90.86, 48485512
12/15/22, 93.54, 94.03, 90.43, 91.20, 28298760
12/14/22, 95.54, 97.22, 93.94, 95.31, 26452939
12/13/22, 98.07, 99.80, 95.38, 95.85, 34788520
12/12/22, 93.09, 93.8745, 91.90, 93.56, 27380949
12/09/22, 93.90, 94.49, 93.02, 93.07, 21885311
12/08/22, 95.69, 95.87, 93.80, 93.95, 25593230
12/07/22, 96.77, 97.31, 95.025, 95.15, 26647881
12/06/22, 99.67, 100.21, 96.7604, 97.31, 20877619
12/05/22, 99.815, 101.7499, 99.355, 99.87, 19955551
12/02/22, 99.37, 101.15, 99.17, 100.83, 18821529
12/01/22, 101.40, 102.59, 100.67, 101.28, 21771539
11/30/22, 95.12, 101.45, 94.67, 101.45, 39888070
11/29/22, 96.00, 96.3901, 94.39, 95.44, 20220010
11/28/22, 97.20, 97.83, 95.89, 96.25, 19981971
11/25/22, 98.465, 98.94, 97.53, 97.60, 8567819
11/23/22, 97.34, 99.0685, 97.34, 98.82, 17568859
11/22/22, 96.16, 97.5475, 94.41, 97.33, 18868850
11/21/22, 97.56, 98.72, 95.67, 95.83, 18696869
11/18/22, 99.01, 99.16, 96.74, 97.80, 24969881
11/17/22, 97.18, 99.48, 97.10, 98.50, 21818730
11/16/22, 98.02, 99.85, 97.9015, 98.99, 24660199
11/15/22, 98.67, 100.42, 97.02, 98.72, 31830971
11/14/22, 95.50, 97.18, 95.1125, 96.03, 24170080
11/11/22, 94.71, 97.36, 94.16, 96.73, 30569109
11/10/22, 92.34, 94.55, 91.65, 94.17, 42371219
11/09/22, 88.545, 89.49, 87.3599, 87.40, 26743881
11/08/22, 89.16, 90.405, 87.65, 88.91, 30172000
11/07/22, 87.34, 88.94, 86.96, 88.65, 26899881
11/04/22, 85.51, 86.73, 83.88, 86.70, 40173281
11/03/22, 86.345, 86.55, 83.45, 83.49, 48510359
11/02/22, 90.91, 91.30, 87.01, 87.07, 43553551
11/01/22, 95.59, 96.165, 90.43, 90.50, 43220602
10/31/22, 95.78, 96.35, 94.38, 94.66, 29868711
10/28/22, 92.53, 96.86, 92.3225, 96.58, 35696930
10/27/22, 94.31, 95.17, 91.90, 92.60, 54036488
10/26/22, 96.76, 98.54, 94.57, 94.82, 71671805
10/25/22, 103.30, 105.0999, 103.02, 104.93, 29910170
10/24/22, 102.09, 103.10, 100.30, 102.97, 24680830
10/21/22, 98.46, 101.62, 98.23, 101.48, 28988730
10/20/22, 100.82, 103.00, 99.97, 100.53, 25125080
10/19/22, 100.70, 101.6592, 99.635, 100.29, 21573689
10/18/22, 103.94, 104.22, 100.65, 101.39, 21610539
10/17/22, 99.52, 101.77, 99.51, 100.78, 23311600
10/14/22, 100.625, 101.29, 97.03, 97.18, 22624830
10/13/22, 95.93, 100.53, 95.27, 99.71, 32812219
10/12/22, 98.27, 99.6476, 97.67, 98.30, 17343430
10/11/22, 98.25, 100.12, 97.25, 98.05, 21617730
10/10/22, 99.85, 99.99, 97.87, 98.71, 16529900
10/07/22, 100.65, 101.42, 99.21, 99.57, 24249910
10/06/22, 101.50, 103.73, 101.50, 102.24, 17156240
10/05/22, 100.69, 102.74, 99.74, 102.22, 18475520
10/04/22, 101.04, 102.72, 101.04, 102.41, 22580930
10/03/22, 97.22, 99.97, 97.02, 99.30, 24840029
