Date, Open, High, Low, Close, Volume
05/11/23, 310.10, 311.12, 306.2601, 310.11, 31680180
05/10/23, 308.62, 313.00, 307.67, 312.31, 30078039
05/09/23, 308.00, 310.04, 306.31, 307.00, 21340830
05/08/23, 310.13, 310.20, 306.09, 308.65, 21318609
05/05/23, 305.72, 311.97, 304.27, 310.65, 28197051
05/04/23, 306.24, 307.7626, 303.40, 305.41, 22519910
05/03/23, 306.62, 308.61, 304.09, 304.40, 22360750
05/02/23, 307.76, 309.18, 303.91, 305.41, 26404430
05/01/23, 306.97, 308.60, 305.15, 305.56, 21294119
04/28/23, 304.01, 308.93, 303.31, 307.26, 36469609
04/27/23, 295.97, 305.20, 295.25, 304.83, 46462641
04/26/23, 296.70, 299.57, 292.73, 295.37, 64599180
04/25/23, 279.51, 281.60, 275.37, 275.42, 45772238
04/24/23, 282.09, 284.95, 278.72, 281.77, 26611010
04/21/23, 285.01, 286.27, 283.0608, 285.76, 21676391
04/20/23, 285.25, 289.03, 285.08, 286.11, 23244359
04/19/23, 285.99, 289.05, 284.54, 288.45, 17150270
04/18/23, 291.57, 291.755, 287.01, 288.37, 20161850
04/17/23, 289.93, 291.60, 286.16, 288.80, 23836221
04/14/23, 287.00, 288.48, 283.69, 286.14, 20987920
04/13/23, 283.59, 289.90, 283.17, 289.84, 24222680
04/12/23, 284.79, 287.01, 281.96, 283.49, 27403430
04/11/23, 285.75, 285.98, 281.64, 282.83, 27276590
04/10/23, 289.208, 289.60, 284.71, 289.39, 23102990
04/06/23, 283.21, 292.08, 282.03, 291.60, 29770330
04/05/23, 285.85, 287.15, 282.92, 284.34, 22064770
04/04/23, 287.23, 290.4499, 285.67, 287.18, 25824301
04/03/23, 286.52, 288.27, 283.95, 287.23, 24883340
03/31/23, 283.73, 289.27, 283.00, 288.30, 32765980
03/30/23, 284.23, 284.46, 281.48, 284.05, 25053410
03/29/23, 278.96, 281.1398, 278.41, 280.51, 25087029
03/28/23, 275.79, 276.14, 272.0451, 275.23, 21878650
03/27/23, 280.50, 281.4589, 275.52, 276.38, 26840211
03/24/23, 277.24, 280.63, 275.28, 280.57, 28199961
03/23/23, 277.94, 281.06, 275.20, 277.66, 36610879
03/22/23, 273.40, 281.04, 272.18, 272.29, 34873328
03/21/23, 274.88, 275.00, 269.5191, 273.78, 34558699
03/20/23, 276.98, 277.48, 269.85, 272.23, 43466648
03/17/23, 278.26, 283.33, 276.3201, 279.43, 69527367
03/16/23, 265.205, 276.56, 263.28, 276.20, 54832141
03/15/23, 259.98, 266.48, 259.21, 265.44, 46028047
03/14/23, 256.75, 261.07, 255.86, 260.79, 33620289
03/13/23, 247.40, 257.91, 245.73, 253.92, 33339719
03/10/23, 251.08, 252.79, 247.60, 248.59, 28333930
03/09/23, 255.82, 259.56, 251.58, 252.32, 26653391
03/08/23, 254.04, 254.5417, 250.81, 253.70, 17340221
03/07/23, 256.30, 257.69, 253.39, 254.15, 21473180
03/06/23, 256.425, 260.12, 255.98, 256.87, 24109850
03/03/23, 252.19, 255.62, 251.39, 255.29, 30760141
03/02/23, 246.55, 251.40, 245.61, 251.11, 24833650
03/01/23, 250.76, 250.93, 245.79, 246.27, 27565260
02/28/23, 249.07, 251.49, 248.73, 249.42, 22490949
02/27/23, 252.46, 252.82, 249.39, 250.16, 21190039
02/24/23, 249.96, 251.00, 248.10, 249.22, 24990910
02/23/23, 255.56, 256.84, 250.48, 254.77, 29219100
02/22/23, 254.09, 254.34, 250.34, 251.51, 22491061
02/21/23, 254.48, 255.49, 251.59, 252.67, 28397439
02/17/23, 259.39, 260.09, 256.00, 258.06, 30000061
02/16/23, 264.02, 266.74, 261.90, 262.15, 29603619
02/15/23, 268.32, 270.73, 266.18, 269.32, 28962160
02/14/23, 272.67, 274.97, 269.28, 272.17, 37047922
02/13/23, 267.64, 274.60, 267.15, 271.32, 44630922
02/10/23, 261.53, 264.09, 260.662, 263.10, 25818490
02/09/23, 273.80, 273.98, 262.80, 263.62, 42375102
02/08/23, 273.20, 276.76, 266.21, 266.73, 54686047
02/07/23, 260.53, 268.775, 260.08, 267.56, 50841367
02/06/23, 257.44, 258.30, 254.78, 256.77, 22518000
02/03/23, 259.542, 264.20, 257.10, 258.35, 29077260
02/02/23, 258.82, 264.69, 257.25, 264.60, 39940441
02/01/23, 248.00, 255.18, 245.47, 252.75, 31259910
01/31/23, 243.45, 247.95, 242.945, 247.81, 26541070
01/30/23, 244.51, 245.60, 242.20, 242.71, 25867369
01/27/23, 248.99, 249.83, 246.83, 248.16, 26498939
01/26/23, 243.65, 248.31, 242.00, 248.00, 33454488
01/25/23, 234.48, 243.30, 230.90, 240.61, 66526641
01/24/23, 242.50, 243.95, 240.44, 242.04, 40234441
01/23/23, 241.10, 245.165, 239.65, 242.58, 31933949
01/20/23, 234.855, 240.74, 234.51, 240.22, 35389809
01/19/23, 233.78, 235.52, 230.68, 231.93, 28623029
01/18/23, 241.565, 242.38, 235.52, 235.81, 30028689
01/17/23, 237.97, 240.91, 237.09, 240.35, 29831260
01/13/23, 237.002, 239.37, 234.92, 239.23, 21333270
01/12/23, 235.26, 239.90, 233.56, 238.51, 27269490
01/11/23, 231.29, 235.95, 231.11, 235.77, 28669330
01/10/23, 227.755, 231.31, 227.33, 228.85, 27033881
01/09/23, 226.45, 231.2366, 226.41, 227.12, 27369779
01/06/23, 223.00, 225.7601, 219.35, 224.93, 43613566
